Name,Registration No.,Validity,E-mail,Contact Person,Address,Correspondence Address,Telephone,Fax No.,State,City
BLUERISE FUND AIF,IN/AIF2/25-26/2104,"Mar 24, 2026 - Perpetual",saloni@bluebuildingconcepts.com,Dakshil Bhatt,"905, 906, Arista Business Space, Pakvan Circle to Sindhubhavan Road, Near Armieda Clinic, Bodakdev, AHMEDABAD, GUJARAT, 380059",,,,GUJARAT,
BLUME VENTURES FUND I,IN/AIF1/25-26/1853,"Jul 21, 2025 - Perpetual",mitul@blume.vc,Mitul Mehta,"Unit no 2 8 Jetha Compound Opp Nirmal Park Byculla East, MUMBAI, MAHARASHTRA, 400027","Unit no 2 8 Jetha Compound Opp Nirmal Park Byculla East, MUMBAI, MAHARASHTRA, 400027",,,MAHARASHTRA,MUMBAI
BLUME VENTURES FUND IA,IN/AIF1/14-15/0106,"May 16, 2014 - Perpetual",ashish@blume.vc,Ashish Fafadia,"C 1 by 5, Sarathi CHS,Khira Nagar, S V Road,, Santacruz West,, MUMBAI, MAHARASHTRA, 400054",,,,MAHARASHTRA,MUMBAI
BLUME VENTURES INDIA FUND II,IN/AIF1/15-16/161,"Jun 29, 2015 - Perpetual",,,"C 1 by 5,Sarathi CHS, Khira Nagar,S V Road, Santacruz West, MUMBAI, MAHARASHTRA, 400054",,,,MAHARASHTRA,MUMBAI
Blume Ventures India Fund III,IN/AIF1/18-19/0599,"Oct 04, 2018 - Perpetual",nandini.pathak@nishithdesai.com,Nandini Pathak,"402 A Hallmark Business Square Saint Dhyaneshwar Marg, MUMBAI, MAHARASHTRA, 400051","Unit No 4, Jetha Compound, , Opposite Nirmal Park, Byculla (E), Mumbai - 400027, MUMBAI, MAHARASHTRA, 400027",,,MAHARASHTRA,MUMBAI
BLUME VENTURES INDIA TRUST IV,IN/AIF2/21-22/0947,"Nov 03, 2021 - Perpetual",finance@blume.vc,Ashish Fafadia,"Windsor 6th Floor Office No 604 CST Road, Kalina Santacruz East, MUMBAI, MAHARASHTRA, 400098","Unit No 4 Jetha Compound Opposite Nirmal Park, Byculla E Mumbai, MUMBAI, MAHARASHTRA, 400027",,,MAHARASHTRA,MUMBAI
Blume Ventures India Trust V,IN/AIF2/24-25/1636,"Nov 21, 2024 - Perpetual",Finance@blume.vc,Mitul Mehta,"Unit No 4 Jetha Compound Opposite Nirmal Park, Byculla E Mumbai, MUMBAI, MAHARASHTRA, 400027","Unit No 4 Jetha Compound Opposite Nirmal Park, Byculla E Mumbai, MUMBAI, MAHARASHTRA, 400027",,,MAHARASHTRA,MUMBAI
BLUME VENTURES OPPORTUNITIES FUND IIA,IN/AIF1/18-19/0558,"Jun 28, 2018 - Perpetual",venkatesh@milestonetrustee.in,Venkatesh Prabhu,"Cat 412 Navjivan Building No 3, Lamington Road Navjivan Commercial Premises Co op Society, MUMBAI, MAHARASHTRA, 400008","Cat 412 Navjivan Building No 3, Lamington Road Navjivan Commercial Premises Co op Society, MUMBAI, MAHARASHTRA, 400008",,,MAHARASHTRA,MUMBAI
Blume Ventures Opportunities Fund IIB,IN/AIF1/21-22/0966,"Dec 22, 2021 - Perpetual",finance@blume.vc,Ashish Fafadia,"Unit No 4 Jetha compound, Opp Nirmal Park Byculla East, MUMBAI, MAHARASHTRA, 400027","Unit No 4 Jetha compound, Opp Nirmal Park Byculla East, MUMBAI, MAHARASHTRA, 400027",,,MAHARASHTRA,MUMBAI
Bombay Capital Trust 1,IN/AIF2/23-24/1329,"Aug 09, 2023 - Perpetual",ankitbengani@gmail.com,Ankit Bengani,"Vaibhav Chambers, Unit No. 205 and 206, 2nd Floor, Plot No. 1, Bandra Kurla Complex, Bandra East, MUMBAI, MAHARASHTRA, 400051","103, Sancheti Bhavan, 4th Floor, Shamaldas Gandhi Marg, Kalbadevi, MUMBAI, MAHARASHTRA, 400002",,,MAHARASHTRA,MUMBAI
Bombay SS Capital Fund,IN/AIF2/25-26/2075,"Mar 05, 2026 - Perpetual",sharadladha@bombaysscapital.com,Sharad Ladha,"202 Mahimkar Residency, 12 Dodoji Konndev Cross Road, Byculla E, MUMBAI, MAHARASHTRA, 400027",,,,MAHARASHTRA,MUMBAI
Bonanza Wealth Investment Trust,IN/AIF3/24-25/1713,"Feb 06, 2025 - Perpetual",achin@bonanzaonline.com,Achin Goel,"B 81, First floor, Sarvodaya Enclave, NEW DELHI, NATIONAL CAPITAL TERRITORY OF DELHI, 110017","Bonanza House, M 2, Cama Industrial Estate, Walbhat Road, Goregaon, MUMBAI, MAHARASHTRA, 400063",,,NATIONAL CAPITAL TERRITORY OF DELHI,NEW DELHI
BORING AMC,IN/AIF3/23-24/1410,"Dec 14, 2023 - Perpetual",info@omkara-asas.com,Saloni Jain,"207 A B, Peninsula Center, Dr SS Rao Marg, opposite Gandhi Hospital, Ganesh Gully, Parel, MUMBAI, MAHARASHTRA, 400012","Unit No.206A, Peninsula Centre, Dr S. S. Rao Road, Parel East, Lalbaug, MUMBAI, MAHARASHTRA, 400012",,,MAHARASHTRA,MUMBAI
Bowden Syndicates,IN/AIF1/22-23/1098,"Jul 04, 2022 - Perpetual",,,"FGC House 14 Panchwati Society near Jai Hind cross roads, Maninagar Ahmedabad 380008, AHMEDABAD, GUJARAT, 380008","FGC House 14 Panchwati Society near Jai Hind cross roads, Maninagar Ahmedabad 380008, AHMEDABAD, GUJARAT, 380008",,,GUJARAT,
Bowhead Trust,IN/AIF3/24-25/1701,"Jan 21, 2025 - Perpetual",compliance@bowheadindia.com,Prateek Gupta,"M113 DLF Park Place, DLF Phase 5 Sector 54, GURGAON, HARYANA, 122002","Unit no 63 The Executive Centre, Golf Course Road DLF Phase 5 Sector 43, GURGAON, HARYANA, 122002",,,HARYANA,
BRAHM CAPITAL PARTNERS,IN/AIF2/13-14/0079,"Oct 17, 2013 - Perpetual",,,,,,,,
Brands and Beyond India Fund 1,IN/AIF2/19-20/0673,"Apr 08, 2019 - Perpetual",francois@brands-beyond.com,Francois Arpels,"Flat n 53 Block C 3rd Floor Flatted Factory Complex , Jhandewalan, NEW DELHI, NATIONAL CAPITAL TERRITORY OF DELHI, 110055","67A Friends Colony West, NEW DELHI, NATIONAL CAPITAL TERRITORY OF DELHI, 110065",,,NATIONAL CAPITAL TERRITORY OF DELHI,NEW DELHI
Breathe Capital India Fund,IN/AIF1/24-25/1493,"Apr 04, 2024 - Perpetual",shauraya@breathecap.com,Shauraya Bhutani,"EC13 , Inderpuri, NEW DELHI, NATIONAL CAPITAL TERRITORY OF DELHI, 110012","EC13 , Inderpuri, NEW DELHI, NATIONAL CAPITAL TERRITORY OF DELHI, 110012",,,NATIONAL CAPITAL TERRITORY OF DELHI,NEW DELHI
Brescon CAT 1 AIF Special Situation Fund,IN/AIFundefined/22-23/1184,"Dec 26, 2022 - Perpetual",,,"C Wing, Office No. 1516, 15th Floor, ONE BKC, Bandra Kurla Complex, Bandra E, MUMBAI, MAHARASHTRA, 400051","C Wing, Office No. 1516, 15th Floor, ONE BKC, Bandra Kurla Complex, Bandra E, MUMBAI, MAHARASHTRA, 400051",,,MAHARASHTRA,MUMBAI
Brescon Opportunities Fund,IN/AIF2/18-19/0643,"Mar 07, 2019 - Perpetual",nitish@brescon.com,Nitish Jain,"85, 8th Floor, 3 North Avenue, Maker Maxity, Bandra Kurla Complex, Bandra East, MUMBAI, MAHARASHTRA, 400051","85, 8th Floor, 3 North Avenue, Maker Maxity, Bandra Kurla Complex, Bandra East, MUMBAI, MAHARASHTRA, 400051",912000000000000.0,912000000000000.0,MAHARASHTRA,MUMBAI
Brew Opportunities Fund,IN/AIF1/22-23/1101,"Jul 07, 2022 - Perpetual",saurabhdavesarsharma@gmail.com,Saurabh Sharma,"E-1 F/F, East of Kailash, DELHI, NATIONAL CAPITAL TERRITORY OF DELHI, 110065","E-1 F/F, East of Kailash, DELHI, NATIONAL CAPITAL TERRITORY OF DELHI, 110065",,,NATIONAL CAPITAL TERRITORY OF DELHI,
Bright Cove Alternate Investment Opportunities Fund,IN/AIF2/22-23/1133,"Sep 12, 2022 - Perpetual",sonam.gupta@brightcovecapital.in,Sonam Gupta,"C 14 Basement , Greater Kailash Enclave I New Delhi South Delhi, NEW DELHI, NATIONAL CAPITAL TERRITORY OF DELHI, 110048","Level 18 One Horizon Centre Golf Course Road, Sector 43 Gurugram Haryana India, GURGAON, HARYANA, 122002",,,NATIONAL CAPITAL TERRITORY OF DELHI,NEW DELHI
Brighter Mind Fortune Trust,IN/AIF3/24-25/1729,"Feb 20, 2025 - Perpetual",rajeevranjan@brightermind.in,Rajeev Ranjan,"305, Tower 4, Assotech, Business Cresterra, Sector 135, Chhaprauli Bengar, Dadri, Gautam Buddha Nagar, NOIDA, UTTAR PRADESH, 201304","305, Tower 4, Assotech, Business Cresterra, Sector 135, Chhaprauli Bengar, Dadri, Gautam Buddha Nagar, NOIDA, UTTAR PRADESH, 201304",,,UTTAR PRADESH,
BTH Capital,IN/AIF3/25-26/2070,"Mar 02, 2026 - Perpetual",sugandhisud@gmail.com,Sugandhi Sud,"Unit 1121, 11th Floor, AIPL Joy Street, Sector 66, Badshahpur, Gurgaon, GURUGRAM, HARYANA, 122018",,,,HARYANA,
BUILD INDIA FUND,IN/AIF3/13-14/0096,"Feb 25, 2014 - Perpetual",,,"Vishwakarma, 86C Topsia Road, KOLKATA, WEST BENGAL, 700046",,,,WEST BENGAL,KOLKATA
Bulsona Capital Trust,IN/AIF3/25-26/1905,"Sep 19, 2025 - Perpetual",bulsonagrp@gmail.com,Vivek kumar Singhal,"201, Eco Space IT ParkNew, Nagardas Road,, Mogra Village, Natwar Nagar, Jogeshwari East, MUMBAI, MAHARASHTRA, 400053","201, Eco Space IT ParkNew, Nagardas Road, Mogra Village, Natwar Nagar, Jogeshwari East, MUMBAI, MAHARASHTRA, 400053",,,MAHARASHTRA,MUMBAI
Buoyant Capital AIF,IN/AIF3/22-23/1125,"Sep 02, 2022 - Perpetual",aif@buoyantcap.com,Jigar Mistry,"3501, B Wing, Kohinoor Square, N. C. Kelkar Marg, R. G. Gadkari Chowk, Shivaji Park, Dadar West, MUMBAI, MAHARASHTRA, 400028","3501, B Wing, Kohinoor Square, N. C. Kelkar Marg, R. G. Gadkari Chowk, Shivaji Park, Dadar West, MUMBAI, MAHARASHTRA, 400028",,,MAHARASHTRA,MUMBAI
Business Excellence Trust II,IN/AIF1/25-26/1979,"Dec 09, 2025 - Perpetual",compliance.moalts@motilaloswal.com,Naveen Gupta,"The Capital Building, Unit No.505- A2, Bandra Kurla Complex , Bandra East,, MUMBAI, MAHARASHTRA, 400051","Motilal Oswal Tower, Rahimtullah Sayani Road, Opposite Parel ST Depot, Prabhadevi, MUMBAI, MAHARASHTRA, 400025",,,MAHARASHTRA,MUMBAI
BUSINESS EXCELLENCE TRUST III,IN/AIF2/17-18/0339,"Jun 14, 2017 - Perpetual",,,"12th Floor, Motilal Oswal Tower, Rahimtullah Sayani Road, Opp. Parel ST Depot,, Prabhadevi, MUMBAI, MAHARASHTRA, 400025",,,,MAHARASHTRA,MUMBAI
Business Excellence Trust IV,IN/AIF2/21-22/0897,"Jun 28, 2021 - Perpetual",bhadresh.mehta@motilaloswal.com,Bhadresh Mehta,"12th Floor Motilal Oswal Tower Rahimtullah Sayani Road Opposite Parel ST Depot, Prabhadevi, MUMBAI, MAHARASHTRA, 400025","12th Floor Motilal Oswal Tower Rahimtullah Sayani Road Opposite Parel ST Depot, Prabhadevi, MUMBAI, MAHARASHTRA, 400025",,,MAHARASHTRA,MUMBAI
BYT Capital Trust,IN/AIF2/25-26/1888,"Sep 01, 2025 - Perpetual",amit@bytcapital.in,Amit Chand,"No 887 Kings Tower 3rd Floor 6th Cross, HBR Layout Kalyananagar Hennur, BANGALORE, KARNATAKA, 560043","No 887 Kings Tower 3rd Floor 6th Cross, HBR Layout Kalyananagar Hennur, BANGALORE, KARNATAKA, 560043",,,KARNATAKA,BANGALORE
Cactus Partners Trust,IN/AIF2/20-21/0842,"Nov 17, 2020 - Perpetual",akshita.maheshwari@cactusglobal.com,Akshita Jaketia,"Unit no. 2106, One Lodha Place, 21st Floor, Senapati Bapat Marg, Lower Parel, MUMBAI, MAHARASHTRA, 400013","Unit no. 2106, One Lodha Place, 21st Floor, Senapati Bapat Marg, Lower Parel, MUMBAI, MAHARASHTRA, 400013",,,MAHARASHTRA,MUMBAI
Cactus Partners Trust II,IN/AIF2/25-26/2013,"Jan 07, 2026 - Perpetual",prashant.hingad@cactusvp.com,Prashant Hingad,"Unit no 2106 21st Floor One Lodha Place Senapati Bapat Marg Lower Parel, MUMBAI, MAHARASHTRA, 400013","Unit no 2106 21st Floor One Lodha Place Senapati Bapat Marg Lower Parel, MUMBAI, MAHARASHTRA, 400013",,,MAHARASHTRA,MUMBAI
Calculus Innovators Trust,IN/AIF2/25-26/1809,"May 16, 2025 - Perpetual",prakash@calculusfunds.com,Prakash Iyer,"B805, Brigade Caladium, Survey Number 45 4, 45 5, Dasarahalli Main Road, Kasaba Hobli, Bhuvaneswari Nagar, Hebbal, BANGALORE, KARNATAKA, 560092","B805, Brigade Caladium, Survey Number 45 4, 45 5, Dasarahalli Main Road, Kasaba Hobli, Bhuvaneswari Nagar, Hebbal, BANGALORE, KARNATAKA, 560092",,,KARNATAKA,BANGALORE
Campus Angel Fund,IN/AIF1/25-26/1851,"Jul 18, 2025 - Perpetual",manjesh@yourcampusfund.com,Manjesh Basavarajaiah,"No. 146, 1st Cross, 1st Stage Karnataka Layout, Kurubarahalli, BANGALORE, KARNATAKA, 560086","No. 146, 1st Cross, 1st Stage Karnataka Layout, Kurubarahalli, BANGALORE, KARNATAKA, 560086",,,KARNATAKA,BANGALORE
Campus Fund,IN/AIF2/21-22/1023,"Mar 24, 2022 - Perpetual",manjesh@yourcampusfund.com,Manjesh Basavarajaiah,"No. 146, 1st Cross, 1st Stage, Karnataka Layout, Kurubarahalli, BANGALORE, KARNATAKA, 560086","No. 146, 1st Cross, 1st Stage, Karnataka Layout, Kurubarahalli, BANGALORE, KARNATAKA, 560086",,,KARNATAKA,BANGALORE
Canara Bank Venture Development Trust,IN/AIF2/15-16/0206,"Feb 04, 2016 - Perpetual",,,"No.29 II FLOOR DWARAKANATH BHAVAN, K R ROAD, BASAVANAGUDI, BANGALORE, KARNATAKA, 560004",,,,KARNATAKA,BANGALORE
CANBANK VENTURE CAPITAL FUND,IN/AIF1/25-26/1867,"Jul 30, 2025 - Perpetual",puneetsharma@canbank.vc,Puneet Sharma,"Canbank Venture Capital Fund No.29, II Floor, Dwarakanath Bhavan, K R Road Basavanagudi, BANGALORE, KARNATAKA, 560004","Canbank Venture Capital Fund No.29, II Floor, Dwarakanath Bhavan, K R Road Basavanagudi, BANGALORE, KARNATAKA, 560004",,,KARNATAKA,BANGALORE
Canbank Venture Capital Growth Trust,IN/AIF2/24-25/1742,"Mar 04, 2025 - Perpetual",beena@canbank.vc,Beena PP,"No 29 2nd Floor Dwarakanath Bhavan Krishna Rajendra Rd Basavanagudi, BANGALORE, KARNATAKA, 560004","No 29 2nd Floor Dwarakanath Bhavan Krishna Rajendra Rd Basavanagudi, BANGALORE, KARNATAKA, 560004",,,KARNATAKA,BANGALORE
Capacious Investment Growth Fund,IN/AIF1/25-26/2103,"Mar 24, 2026 - Perpetual",cwmllpinfo@gmail.com,Harshi Chopra,"53 Gem Enclave Pradhan Marg, Malviya Nagar Jaipur, JAIPUR, RAJASTHAN, 302017",,,,RAJASTHAN,JAIPUR
Capier Investments India Trust One,IN/AIF2/21-22/0962,"Dec 14, 2021 - Perpetual",gautham@capierinvestments.com,Gautham Kalro,"PeerCap Advisors LLP, No. 16 Bar 2, Awfis Space Solution Pvt Ltd, 3rd Floor,, Field Marshal KM Cariappa Road, Shanthala Nagar, Ashok Nagar,, BANGALORE, KARNATAKA, 560025","PeerCap Advisors LLP, No. 16 Bar 2, Awfis Space Solution Pvt Ltd, 3rd Floor, Field Marshal KM Cariappa Road, Shanthala Nagar, Ashok Nagar, BANGALORE, KARNATAKA, 560025",,,KARNATAKA,BANGALORE
Capital 2B,IN/AIF2/22-23/1051,"Apr 20, 2022 - Perpetual",nitin.gupta@infoedgeventures.com,Nitin Gupta,"Ground Floor 12A 94 Meghdoot, Nehru Place, NEW DELHI, NATIONAL CAPITAL TERRITORY OF DELHI, 110019","Ground Floor 12A 94 Meghdoot, Nehru Place, NEW DELHI, NATIONAL CAPITAL TERRITORY OF DELHI, 110019",,,NATIONAL CAPITAL TERRITORY OF DELHI,NEW DELHI
CAPITAL GROWTH TRUST,IN/AIF2/19-20/0675,"Apr 11, 2019 - Perpetual",shilpa.modi@srei.com,SHILPA MODI,"Vishwakarma Building, 86C Topisa Road South, KOLKATA, WEST BENGAL, 700046","Vishwakarma Building, 86C Topisa Road South, KOLKATA, WEST BENGAL, 700046",,,WEST BENGAL,KOLKATA
CapitaLand India RE Opportunities Fund,IN/AIF2/25-26/2074,"Mar 05, 2026 - Perpetual",sourabh.gupta@capitaland.com,SOURABH GUPTA,"3rd Floor, Discoverer Building, , ITPL Main Road, BANGALORE, KARNATAKA, 560066",,,,KARNATAKA,BANGALORE
CAPITALK,IN/AIF3/21-22/0929,"Sep 08, 2021 - Perpetual",amitabh.chakraborty@kitaracapital.com,Amitabh Chakraborty,"507 CEEJAY HOUSE SHIV SAGAR ESTATE, DR. ANNIE BESANT ROAD WORLI, MUMBAI, MAHARASHTRA, 400018","507 Ceejay House, Shiv Sagar Estate, Dr. Annie Besant Road, Worli, MUMBAI, MAHARASHTRA, 400018",,,MAHARASHTRA,MUMBAI
Capitalmind Select India One,IN/AIF3/23-24/1357,"Sep 26, 2023 - Perpetual",varun@capitalmind.in,Varun Mishra,"2323 Prakash Arcade 17th Cross 27th Main, 1st Sector HSR Layout, BANGALORE, KARNATAKA, 560102","2323 Prakash Arcade 17th Cross 27th Main, 1st Sector HSR Layout, BANGALORE, KARNATAKA, 560102",,,KARNATAKA,BANGALORE
CapitalSquare Alternative Investment Trust,IN/AIF3/24-25/1702,"Jan 22, 2025 - Perpetual",aif@capitalsquare.in,Sunil Kumar Manocha,"208 AarPee Centre,CTS, 70, Nr.Tunga Paradise Hotel, Chakala MIDC,, MUMBAI, MAHARASHTRA, 400093","208 AarPee Centre,CTS, 70, Nr.Tunga Paradise Hotel, Chakala MIDC, MUMBAI, MAHARASHTRA, 400093",,,MAHARASHTRA,MUMBAI
CAPITAR VENTURES TRUST,IN/AIF2/22-23/1134,"Sep 14, 2022 - Perpetual",Rahul@capitar.in,Rahul Mahipal,"Unit no. 417 Lodha Supremus Andheri, End of 11th Road of Mahakali Caves Road, Near Hotel Tunga International, Andheri East, MUMBAI, MAHARASHTRA, 400093","Unit no. 417 Lodha Supremus Andheri, End of 11th Road of Mahakali Caves Road, Near Hotel Tunga International, Andheri East, MUMBAI, MAHARASHTRA, 400093",,,MAHARASHTRA,MUMBAI
Capri India Investment Fund,IN/AIF2/16-17/0251,"Aug 09, 2016 - Perpetual",,,"1 B Court Chambers 35, Sir Vithaldas Thakersey Marg New marine lines, MUMBAI, MAHARASHTRA, 400051",,,,MAHARASHTRA,MUMBAI
CAPRI SPECIAL SITUATIONS TRUST,IN/AIF1/23-24/1291,"Jun 12, 2023 - Perpetual",SUPPORT@CAPRIXPONENTIA.IN,RAJESH SHARMA,"Floor 1, Plot 15A, 35, Court Chambers, Vithaldas Thackersey Marg, New Marine Lines, MUMBAI, MAHARASHTRA, 400020","Floor 1, Plot 15A, 35, Court Chambers, Vithaldas Thackersey Marg, New Marine Lines, MUMBAI, MAHARASHTRA, 400020",,,MAHARASHTRA,MUMBAI
CAPRI SPECIAL SITUATIONS TRUST,IN/AIFundefined/23-24/1291,"Jun 12, 2023 - Perpetual",,,"Floor 1, Plot 15A, 35, Court Chambers, Vithaldas Thackersey Marg, New Marine Lines, MUMBAI, MAHARASHTRA, 400020","Floor 1, Plot 15A, 35, Court Chambers, Vithaldas Thackersey Marg, New Marine Lines, MUMBAI, MAHARASHTRA, 400020",,,MAHARASHTRA,MUMBAI
CAPRIA VENTURES INDIA FUND III,IN/AIF2/24-25/1590,"Sep 09, 2024 - Perpetual",VSARDA@UNITUSCAPITAL.COM,VIKAS SARDA,"No 99/100,Prestige Towers,2nd Floor , Residency Road, BANGALORE, KARNATAKA, 560025","No 99/100,Prestige Towers,2nd Floor , Residency Road, BANGALORE, KARNATAKA, 560025",,,KARNATAKA,BANGALORE
Caprize Infinity Investment Trust,IN/AIF3/25-26/1987,"Dec 12, 2025 - Perpetual",info@caprize.co,Sharad Kumar Tripathi,"Office No. 211, Kamla Spaces, S. V. Road, Khira Nagar, Santacruz West, MUMBAI, MAHARASHTRA, 400054","Office No. 211, Kamla Spaces, S. V. Road, Khira Nagar, Santacruz West, MUMBAI, MAHARASHTRA, 400054",,,MAHARASHTRA,MUMBAI
Carnelian AIF Category I Trust,IN/AIF1/25-26/1787,"Apr 07, 2025 - Perpetual",compliance@carneliancapital.co.in,Monica Sharma,"1205 1206, One Lodha Place, Senapati Bapat Marg, Lower Parel West, MUMBAI, MAHARASHTRA, 400013","1205 1206, One Lodha Place, Senapati Bapat Marg, Lower Parel West, MUMBAI, MAHARASHTRA, 400013",,,MAHARASHTRA,MUMBAI
Carnelian Alternative Investment Trust,IN/AIF3/18-19/0642,"Feb 26, 2019 - Perpetual",pankaj@carneliancapital.co.in,PANKAJ NAMDHARANI,"1205 1206 One Lodha Place Senapati Bapat Marg, Delisle Road Lower Parel West, MUMBAI, MAHARASHTRA, 400013","1205 1206 One Lodha Place Senapati Bapat Marg, Delisle Road Lower Parel West, MUMBAI, MAHARASHTRA, 400013",9100000000000.0,9100000000000.0,MAHARASHTRA,MUMBAI
CARPEDIEM CAPITAL PARTNERS FUND I,IN/AIF2/14-15/0125,"Nov 11, 2014 - Perpetual",,,"507A, The Aralias,, DLF Golf Links, Phase 5, GURGAON, HARYANA, 122009",,,,HARYANA,
Carpediem Capital Partners Fund II,IN/AIF2/19-20/0674,"Apr 09, 2019 - Perpetual",pratik@carpediem-capital.com,Pratik Mantri,"B 702/703, Ashok Garden, T J Road, Near KEM Hospital , Sewri, Mumbai, MUMBAI, MAHARASHTRA, 400015","84, 8th Floor, Free Press House, Free Press Journal Marg, Nariman Point, MUMBAI, MAHARASHTRA, 400021",,,MAHARASHTRA,MUMBAI
Casper Investment Trust,IN/AIF2/20-21/0836,"Oct 29, 2020 - Perpetual",ravindra@caspercapital.in,Ravindra Dhotre,"8 2 698, 5th Floor, 403 M J Towers, Road No. 12, Banjara Hills, HYDERABAD, TELANGANA, 500034","8 2 698, 5th Floor, 403 M J Towers, Road No. 12, Banjara Hills, HYDERABAD, TELANGANA, 500034",9100000000000.0,9100000000000.0,TELANGANA,HYDERABAD
CASPIAN ASSAM AGRIBUSINESS INVESTMENT FUND FOR RURAL PROSPERITY -RUPIAA,IN/AIF2/23-24/1375,"Nov 02, 2023 - Perpetual",caspianfundv.nda@nishithdesai.com,Venkata Narasimham Bulusu,"4th Floor, Ventureast Plaza, Plot No. 40 and 41, Financial District, Gachibowli, Telangana, HYDERABAD, TELANGANA, 500032","4th Floor, Ventureast Plaza, Plot No. 40 and 41, Financial District, Gachibowli, Telangana, HYDERABAD, TELANGANA, 500032",,,TELANGANA,HYDERABAD
CASPIAN LEAP FOR AGRICULTURE FUND,IN/AIF2/21-22/0979,"Jan 27, 2022 - Perpetual",emmanuel@caspian.in,Emmanuel Murray,"Block A, 4th floor, Phoenix Primea (Red Brick Building), Plot No. 40 & 41, Financial District, Beside IRDA, Gachibowli Hyderabad, HYDERABAD, TELANGANA, 500032","Block A, 4th floor, Phoenix Primea (Red Brick Building), Plot No. 40 & 41, Financial District, Beside IRDA, Gachibowli Hyderabad, HYDERABAD, TELANGANA, 500032",,,TELANGANA,HYDERABAD
Caspian SME Impact Fund IV,IN/AIF2/15-16/0208,"Feb 22, 2016 - Perpetual",,,"Block A, 4th Floor, Phoenix Primea,, Plot no 40 and 41, Financial District, Beside IRDA, Gachibowli,, HYDERABAD, TELANGANA, 500032",,,,TELANGANA,HYDERABAD
CATAMARAN AIF TRUST,IN/AIF2/21-22/0981,"Jan 27, 2022 - Perpetual",FINANCE@CATAMARAN.IN,SHEETAL BHAT,"Plot No. 51 52, Sarakki Industrial Layout, , 1st Main Road, J. P. Nagar, 3rd Phase, BANGALORE, KARNATAKA, 560078","Plot No. 51 52, Sarakki Industrial Layout, , 1st Main Road, J. P. Nagar, 3rd Phase, BANGALORE, KARNATAKA, 560078",,,KARNATAKA,BANGALORE
CAVI First Principles Trust,IN/AIF3/22-23/1214,"Feb 22, 2023 - Perpetual",kgupta@cavicapital.in,Karan Gupta,"34 Sri Ram Road, Civil Lines, Delhi, DELHI, NATIONAL CAPITAL TERRITORY OF DELHI, 110054","34 Sri Ram Road, Civil Lines, Delhi, DELHI, NATIONAL CAPITAL TERRITORY OF DELHI, 110054",,,NATIONAL CAPITAL TERRITORY OF DELHI,
CBA India Emerging Opportunities AIF,IN/AIF3/25-26/2092,"Mar 12, 2026 - Perpetual",raj@capbridge.in,Raj Shah,"205 Samedh SF Nr Agrawal Plaza , C G Road Ellis Bridge, AHMEDABAD, GUJARAT, 380006",,,,GUJARAT,
CCV Emerging Opportunities Fund,IN/AIF3/23-24/1486,"Mar 28, 2024 - Perpetual",investment.manager@ccvindia.com,Kulbhushan Parashar,"FIRST FLOOR, H 9, BLOCK B1, MOHAN COOPERATIVE INDUSTRIAL ESTATE, MATHURA ROAD, NEW DELHI, NATIONAL CAPITAL TERRITORY OF DELHI, 110044","FIRST FLOOR, H 9, BLOCK B1, MOHAN COOPERATIVE INDUSTRIAL ESTATE, MATHURA ROAD, NEW DELHI, NATIONAL CAPITAL TERRITORY OF DELHI, 110044",,,NATIONAL CAPITAL TERRITORY OF DELHI,NEW DELHI
CDM Capital Trust,IN/AIF1/22-23/1165,"Nov 02, 2022 - Perpetual",davesh@cdmcapital.in,Davesh Manocha,"HD 106, WeWork Enam Sambhav, C 20, G Block Rd, G Block BKC, Bandra Kurla Complex, MUMBAI, MAHARASHTRA, 400051","HD 106, WeWork Enam Sambhav, C 20, G Block Rd, G Block BKC, Bandra Kurla Complex, MUMBAI, MAHARASHTRA, 400051",,,MAHARASHTRA,MUMBAI
Cedar-IBSI Capital,IN/AIF2/22-23/1185,"Jan 09, 2023 - Perpetual",sahil@cicventures.vc,sahil anand,"201 Peninsula Business Park, Tower A, Senapati Bapat Marg, Lower Parel, MUMBAI, MAHARASHTRA, 400013","201 Peninsula Business Park, Tower A, Senapati Bapat Marg, Lower Parel, MUMBAI, MAHARASHTRA, 400013",,,MAHARASHTRA,MUMBAI
Celesta India Trust,IN/AIF2/21-22/1020,"Mar 23, 2022 - Perpetual",ganesh@indusage.com,Sudhir Rao Palepu,"No 9/1 Madras Bank Road , Off St Marks Road, BANGALORE, KARNATAKA, 560001","No 9/1 Madras Bank Road , Off St Marks Road, BANGALORE, KARNATAKA, 560001",,,KARNATAKA,BANGALORE
Centre Court Capital Fund I,IN/AIF2/22-23/1204,"Feb 08, 2023 - Perpetual",mustafa.ghouse@centrecourtcapital.com,Mustafa Ghouse,"Jindal Mansion, 5A, Dr. G. Deshmukh marg, MUMBAI, MAHARASHTRA, 400026","Jindal Mansion, 5A, Dr. G. Deshmukh marg, MUMBAI, MAHARASHTRA, 400026",,,MAHARASHTRA,MUMBAI
